length_cm,weight_kg,State,Date,URL
91.3,,NSW,Aug-15,https://fishingworld.com.au/news/record-numbers-for-dave-irvine-memorial-snapper-classic/
102,14.51,NSW,May-15,https://fishingworld.com.au/news/pb-snapper-beats-40-year-old-record/ 
,13.7,NSW,May-75,https://fishingworld.com.au/news/pb-snapper-beats-40-year-old-record/ 
99,11.8,NSW,-,https://fishingworld.com.au/news/pb-snapper-beats-40-year-old-record/ 
112,15.9,WA,May-14,https://fishingworld.com.au/news/monster-snapper-caught-in-wa/ 
,18.4,AUS,Nov-94,https://www.qafca.com.au/fish-records 
114.7,16.1,WA,May-13,https://fishingworld.com.au/news/monster-snapper-set-to-break-record/ 
,16.5,SA,Dec-10,https://fishingworld.com.au/news/monster-snapper/ 
107,13.5,SA,Jun-09,https://fishingworld.com.au/news/australian-record-snapper/ 
,16.2,,Oct-01,https://www.gfaa.asn.au/records/capture-records?fish_species=92&states&category&line_class&environment&button=Filter&page= 
,17.2,NZ,Nov-92,https://www.fishing.net.nz/fishing-advice/general-articles/learning-from-mark-hemingway/ 
99.2,,NSW,Oct-14,https://fishingworld.com.au/news/big-fish-good-times-at-north-coast-fishing-bonanza/ 
95,,NSW,Oct-14,https://fishingworld.com.au/news/big-fish-good-times-at-north-coast-fishing-bonanza/ 
82.2,,NSW,Oct-14,https://fishingworld.com.au/news/big-fish-good-times-at-north-coast-fishing-bonanza/ 
